author,geos
Pierre Brunel,"['48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Bernard Gorceix,"['0,0', '48.90245,2.21238']"
Rene Lepelley,"['0,0', '49.18884,-0.36382']"
Jean Peytard,"['0,0', '47.2408,6.02265', '47.2408,6.02265', '47.2408,6.02265', '47.2408,6.02265']"
Jean Pailhous,"['0,0', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781']"
Remi Langevin,"['0,0', '47.31274,5.06637', '47.31274,5.06637']"
Marie-Christine Fraysse,"['47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587']"
Raymond Courbis,"['0,0', '48.90245,2.21238', '48.90245,2.21238']"
Ketty Gersen Schwartz,"['0,0', '48.70997,2.1531']"
Yvonne Cauderon,"['0,0', '48.70997,2.1531']"
Rene Roblot,"['0,0', '48.6962,6.17634']"
Victor Alessandrini,"['0,0', '48.70997,2.1531']"
Jean-Marc Delrieu,"['0,0', '48.70997,2.1531']"
Odile Eisenstein,"['0,0', '48.70997,2.1531']"
Michel Davier,"['0,0', '48.70997,2.1531']"
Derek Harold Richard Barton,"['0,0', '48.70997,2.1531', '48.70997,2.1531']"
Gilles Lachaud,"['0,0', '43.71693,7.26664', '43.2935,5.35781']"
Jean Cea,"['0,0', '43.71693,7.26664']"
Jean Raynaud,"['44.809966,-0.596578', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518']"
Francois Cuzin,"['0,0', '43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664']"
Francois Martin,"['48.8468,2.34488', '43.71693,7.26664', '47.31274,5.06637', '45.77962,4.86518']"
Francis Rondelez,"['0,0', '48.70997,2.1531']"
Jean-Paul Morel,"['0,0', '43.2935,5.35781', '43.2935,5.35781']"
J.-L. Nicolas,"['0,0', '48.70997,2.1531']"
Claude Amiel,"['0,0', '48.70997,2.1531']"
Pierre Brunet,"['48.90245,2.21238', '49.18884,-0.36382', '49.18884,-0.36382', '49.18884,-0.36382', '49.18884,-0.36382', '49.4583,1.06895', '48.90245,2.21238']"
Pierre Lagarde,"['0,0', '48.70997,2.1531']"
Yves Meyer,"['0,0', '48.70997,2.1531', '48.85464,2.33785', '48.71317,2.21022', '42.6844,2.89854']"
Charles Chaumont,"['0,0', '48.6962,6.17634']"
Christian Collombel,"['0,0', '45.77962,4.86518', '45.77962,4.86518']"
Francois Richaud,"['0,0', '48.70997,2.1531']"
Richard Penelle,"['0,0', '48.70997,2.1531']"
Serge Alinhac,"['0,0', '48.70997,2.1531']"
Makhlouf Derridj,"['0,0', '48.70997,2.1531']"
Mireille Rougier,"['0,0', '45.77962,4.86518']"
Max de Ceccatty,"['0,0', '45.77962,4.86518']"
Jacques Dreux,"['0,0', '45.77962,4.86518', '45.77962,4.86518']"
Jean Maisonneuve,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Michel Rainelli,"['0,0', '43.71693,7.26664', '43.71693,7.26664']"
Claude Levy,"['47.7323,7.31485', '48.90245,2.21238', '48.90245,2.21238', '43.57954,1.40235', '48.90245,2.21238', '48.90245,2.21238']"
Yves Bottineau,"['48.851304,2.340246', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Claude Abastado,"['0,0', '48.90245,2.21238']"
Bernard Masson,"['48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '44.809966,-0.596578', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '44.809966,-0.596578', '48.90245,2.21238', '44.809966,-0.596578', '44.809966,-0.596578', '48.90245,2.21238']"
Francois Vincent,"['48.851304,2.340246', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '43.56287,1.46597']"
Michel Bernard,"['48.8489,2.34313', '48.90245,2.21238', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.8468,2.34488', '48.946,2.36213', '48.851906,2.340105', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '45.77056,3.08791', '48.8468,2.34488', '45.77056,3.08791']"
Lilly Kahil,"['0,0', '48.90245,2.21238', '48.90245,2.21238']"
Efim Grigorevic Etkind,"['0,0', '48.90245,2.21238', '48.90245,2.21238']"
Francois Chesnais,"['48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071']"
Michel Arrive,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Maurice Robin,"['0,0', '48.90245,2.21238', '48.90245,2.21238']"
Alexander W. Macdonald,"['0,0', '48.90245,2.21238']"
Henri-Francois Imbert,"['0,0', '48.90245,2.21238']"
Philippe Langlois,"['47.478,-0.548273', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.85464,2.33785', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Georges Labica,"['0,0', '48.90245,2.21238', '48.90245,2.21238']"
Gilbert Lascault,"['0,0', '48.90245,2.21238', '48.8468,2.34488']"
Gilbert Abraham-Frois,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Andre Gouron,"['0,0', '43.61583,3.87203', '43.61583,3.87203']"
Yves Garault,"['0,0', '45.8263,1.25917', '45.8263,1.25917']"
Marie-Therese Ribay,"['0,0', '47.2097,-1.55587']"
Robert Badouin,"['0,0', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203']"
Jean-Pierre Pascault,"['0,0', '45.77962,4.86518', '45.783,4.87798', '45.783,4.87798']"
Julian Alfred Pitt-Rivers,"['0,0', '48.90245,2.21238']"
Pierre Aubenque,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Francois Jouan,"['43.2935,5.35781', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Paul Valentin,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Claude Bruneteau,"['0,0', '48.90245,2.21238']"
Christine Brechon-Moulenes,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.8468,2.34488']"
Olivier Masson,"['43.61583,3.87203', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '45.8263,1.25917']"
Marie-Claire Bancquart,"['0,0', '48.90245,2.21238', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Annie Kriegel,"['0,0', '48.90245,2.21238']"
Jose Maria Sala-Trepat,"['0,0', '48.70997,2.1531']"
P. Thery,"['0,0', '50.6314,3.07497']"
Gerard Cure,"['0,0', '50.6314,3.07497', '50.6314,3.07497']"
Gaston Mialaret,"['0,0', '49.18884,-0.36382', '49.18884,-0.36382']"
Antoine Labeyrie,"['0,0', '43.71693,7.26664']"
Jean-Paul Poirier,"['0,0', '48.851906,2.340105', '48.851906,2.340105', '48.851304,2.340246', '48.851906,2.340105']"
Paul Binet,"['0,0', '49.18884,-0.36382', '49.18884,-0.36382']"
Daniel Bloyet,"['0,0', '49.18884,-0.36382', '49.18884,-0.36382']"
Jean-Francois Stephan,"['0,0', '48.39803,-4.5077']"
Alain Bienayme,"['0,0', '48.85464,2.33785', '48.85464,2.33785']"
Jean-Marie Auzende,"['0,0', '48.39803,-4.5077']"
Lucien Povy,"['0,0', '50.6314,3.07497']"
Francois Baert,"['47.478,-0.548273', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497']"
Pierre Micheau,"['0,0', '50.6314,3.07497']"
Ahmed Younous Benabderrazik,"['0,0', '48.95793,2.34071']"
Pierre Formstecher,"['0,0', '50.6314,3.07497']"
Jean-Marie Chevalier,"['48.83915,2.58747', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071', '50.6314,3.07497', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785']"
Nicole Desolneux-Moulis,"['0,0', '45.77962,4.86518']"
Michel Lannoo,"['0,0', '50.6314,3.07497']"
Christian Rombaut,"['0,0', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497']"
Michel Gery,"['0,0', '45.77962,4.86518']"
Pierre Pinard,"['0,0', '45.783,4.87798', '45.783,4.87798', '45.783,4.87798', '45.783,4.87798', '45.783,4.87798']"
Robert Barbault,"['0,0', '48.851304,2.340246']"
Hugues Portelli,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.8468,2.34488', '48.8468,2.34488']"
Andre Kaspi,"['0,0', '48.8468,2.34488']"
Eric de Dampierre,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Jean Lemaire,"['48.90245,2.21238', '50.6314,3.07497', '48.851906,2.340105']"
Janine Robert-Baudouy,"['0,0', '45.783,4.87798']"
Jean-Paul Charnay,"['48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Jean Chaline,"['0,0', '47.31274,5.06637']"
Gilles Ferry,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Jean Bonamour,"['0,0', '48.851304,2.340246', '48.851304,2.340246']"
Alfred Guth,"['0,0', '48.851304,2.340246']"
Ghyslain Tanguy,"['0,0', '48.12064,-1.70333']"
Marc Girard,"['48.57872,7.76465', '48.851906,2.340105']"
Pierre Tiollais,"['0,0', '48.851906,2.340105']"
Michel Cabrillac,"['43.2935,5.35781', '43.61583,3.87203', '43.61583,3.87203']"
Jean Philibert,"['0,0', '48.70997,2.1531']"
Henri B. Kagan,"['0,0', '48.70997,2.1531']"
Antoine Leon,"['0,0', '48.851906,2.340105']"
