author,geos
Michel Mollat du Jourdin,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Denise Simatos,"['0,0', '47.31274,5.06637', '47.31274,5.06637']"
Raymond Chappuis,"['0,0', '47.38376,0.67367']"
Francois d' Arcy,"['0,0', '45.19159,5.76726']"
Rene Bureau,"['0,0', '48.90245,2.21238']"
Roberte Hamayon,"['48.90245,2.21238', '48.90245,2.21238', '48.851906,2.340105', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Frederic Mauro,"['0,0', '48.90245,2.21238', '48.90245,2.21238']"
Marcel Francois,"['0,0', '48.90245,2.21238']"
Louis Forestier,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Pierre-Noel Giraud,"['0,0', '48.7132,2.19972', '48.7132,2.19972', '48.85464,2.33785']"
Anne Blanchard,"['48.79959,2.14159', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924']"
Jacques Godechot,"['0,0', '43.57954,1.40235']"
Henri Mendras,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.85412,2.32842']"
Jacques Valier,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Claude Laguerie,"['0,0', '43.56287,1.46597', '43.56287,1.46597', '43.56287,1.46597']"
Michel Simon,"['43.61583,3.87203', '50.6314,3.07497', '50.6314,3.07497', '48.851906,2.340105', '43.56287,1.46597', '43.56287,1.46597']"
Herve Beauchesne,"['0,0', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
ARIANE LEVY SHOEN,"['0,0', '48.851906,2.340105']"
Francoise Bacher,"['0,0', '48.851906,2.340105']"
Michel Candau,"['0,0', '43.56287,1.46597', '43.56287,1.46597', '43.56287,1.46597']"
Didier Anzieu,"['0,0', '48.90245,2.21238', '48.90245,2.21238']"
Henri Foch,"['0,0', '43.56287,1.46597']"
Joseph Noailles,"['0,0', '43.56287,1.46597', '43.56287,1.46597']"
Robert Martin,"['0,0', '48.851304,2.340246', '48.851304,2.340246']"
Paul Zagame,"['0,0', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Paul Fraisse,"['0,0', '48.851906,2.340105']"
Pierre-Paul Sagave,"['0,0', '48.90245,2.21238']"
Philippe Vigier,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Basile Kerblay,"['0,0', '48.851304,2.340246']"
Jean Rouch,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Francois Crouzet,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Daniel Boucher,"['0,0', '50.6314,3.07497', '45.77056,3.08791', '50.6314,3.07497']"
Francois Villard,"['0,0', '48.90245,2.21238']"
Jean-Yves Cohen,"['0,0', '47.2097,-1.55587']"
Jacqueline Bonnamour,"['0,0', '48.8468,2.34488', '48.8468,2.34488']"
Jacques Testaniere,"['0,0', '49.4583,1.06895']"
Jacques Robert,"['46.58596,0.34601', '48.90245,2.21238', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '48.8468,2.34488', '45.77962,4.86518', '48.8468,2.34488', '45.77962,4.86518', '48.8468,2.34488', '48.8468,2.34488', '48.95793,2.34071', '48.95793,2.34071', '48.8468,2.34488', '48.95793,2.34071', '44.809966,-0.596578', '48.70997,2.1531']"
Julien Eymard,"['48.57872,7.76465', '43.57954,1.40235']"
Jean-Louis Martel,"['45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518']"
Robert Rouge,"['0,0', '48.851304,2.340246']"
Jacques Dumont,"['0,0', '48.11585,-1.67298', '45.77962,4.86518', '45.8263,1.25917']"
Philippe Fritsch,"['47.38376,0.67367', '45.7492,4.83714', '45.7492,4.83714']"
Francois Bourricaud,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Ferenc Molnar,"['0,0', '48.8468,2.34488', '48.8468,2.34488']"
Pierre Kaufmann,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Yves Simon,"['47.2097,-1.55587', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785']"
Michel Lambert,"['46.14774,-1.15504', '45.77962,4.86518', '45.77962,4.86518']"
Olivier Lacombe,"['48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Marcel Gaspard,"['0,0', '48.851906,2.340105', '48.851906,2.340105']"
Marcel Capet,"['0,0', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Pierre Pascallon,"['0,0', '45.77056,3.08791', '45.77056,3.08791']"
Jean Dercourt,"['0,0', '48.851304,2.340246', '48.851304,2.340246']"
Henri Faure,"['0,0', '48.851906,2.340105']"
Jean-Pierre Deconchy,"['0,0', '48.90245,2.21238']"
Francois Livi,"['0,0', '48.6962,6.17634', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Anne Bouvier Cavoret,"['0,0', '48.6962,6.17634']"
Blanche-Noelle Grunig,"['0,0', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213']"
Joseph Brunet-Jailly,"['0,0', '43.2935,5.35781', '43.2935,5.35781']"
Jacques Salaun,"['0,0', '48.70997,2.1531']"
Claude Allegre,"['0,0', '48.851906,2.340105', '48.851906,2.340105']"
Richard Marienstras,"['0,0', '48.851906,2.340105', '48.851906,2.340105']"
Michel Gervais,"['0,0', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298']"
Germain Sicard,"['0,0', '43.60656,1.43712', '43.60656,1.43712', '43.60656,1.43712', '43.60656,1.43712']"
Michel David,"['45.77962,4.86518', '45.19159,5.76726', '45.19159,5.76726', '45.19159,5.76726', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '47.478,-0.548273', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518']"
Liliane Hubert-Pfalzgraf,"['0,0', '43.71693,7.26664']"
Yves Coirault,"['0,0', '48.851304,2.340246']"
Michel Blanc,"['43.2935,5.35781', '48.851304,2.340246', '43.56287,1.46597', '43.56287,1.46597']"
Daniel Kayser,"['0,0', '48.70997,2.1531', '48.95793,2.34071']"
Antoine Schnapper,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Andre Chastagnol,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Jacques Monfrin,"['0,0', '48.851304,2.340246']"
Henry Bouillier,"['0,0', '48.851304,2.340246']"
Louis Labroue,"['0,0', '45.77962,4.86518']"
Jean-Claude Poizat,"['48.85412,2.32842', '45.77962,4.86518']"
Francine Casse,"['0,0', '48.70997,2.1531']"
Henri-Jean Martin,"['0,0', '48.8468,2.34488']"
Joel Jallais,"['0,0', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298']"
Michel Vovelle,"['0,0', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Marie-Louise Champigny,"['0,0', '48.70997,2.1531']"
Frederic Francois,"['0,0', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
Claude Gauvin,"['0,0', '48.851304,2.340246']"
Andre Rousseau,"['0,0', '43.2935,5.35781']"
Philippe Hugon,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Gerard Bramoulle,"['0,0', '43.2935,5.35781', '43.2935,5.35781']"
Jean Delumeau,"['0,0', '48.39803,-4.5077', '48.8468,2.34488']"
Herve Barreau,"['0,0', '48.57872,7.76465']"
Jacques Robichez,"['0,0', '48.851304,2.340246', '48.851304,2.340246']"
Jacques Roux,"['48.8468,2.34488', '48.57872,7.76465']"
Christian Mouton,"['0,0', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298']"
Gerard Bailloud,"['0,0', '48.8468,2.34488']"
Marie-Cecile Maniere,"['0,0', '48.57872,7.76465']"
Jean Foyer,"['48.8489,2.34313', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Gerard Verdier,"['0,0', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518']"
Jean Mongredien,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Alain Pave,"['0,0', '45.77962,4.86518']"
Hieu Ha Minh,"['0,0', '43.56287,1.46597', '43.56287,1.46597']"
Georges Crozat,"['0,0', '42.6844,2.89854']"
Nelly Jobert,"['0,0', '48.851304,2.340246']"
Jean Philip,"['0,0', '43.2935,5.35781']"
Lucien Carrive,"['0,0', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313']"
Helene Ahrweiler,"['0,0', '48.8468,2.34488', '48.8468,2.34488']"
Bernard Durand,"['0,0', '47.85065,1.93397', '43.61583,3.87203', '43.61583,3.87203', '47.7323,7.31485']"
Jean-Marie Legay,"['0,0', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518']"
Michel-Yves Jaffrin,"['0,0', '49.40024,2.800108', '49.40024,2.800108', '49.40024,2.800108', '49.40024,2.800108']"
Jean-Nepomucene Nkurikiyimfura,"['48.8468,2.34488', '48.8468,2.34488']"
Michel Bouletreau,"['0,0', '45.77962,4.86518']"
Madeleine Coulon,"['0,0', '45.77962,4.86518']"
Jean-Pierre Poussou,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Alain Barrere,"['0,0', '48.8468,2.34488']"
Robert Adde,"['0,0', '48.70997,2.1531', '48.70997,2.1531']"
Jean Huet,"['43.61583,3.87203', '45.77962,4.86518']"
Genevieve Jomier,"['48.851906,2.340105', '48.70997,2.1531', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785']"
Daniel Herbage,"['0,0', '45.77962,4.86518']"
Andre Guilcher,"['0,0', '48.39803,-4.5077', '48.39803,-4.5077', '48.39803,-4.5077', '48.39803,-4.5077', '48.39803,-4.5077']"
Pierre Joly,"['48.7132,2.19972', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518']"
Jean-Luc Marion,"['0,0', '46.58596,0.34601', '46.58596,0.34601', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Philippe Pinchemel,"['0,0', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Claude Dumas,"['0,0', '50.6314,3.07497', '50.6314,3.07497']"
Andre Micallef,"['0,0', '43.71693,7.26664', '43.71693,7.26664']"
Rene Mornex,"['0,0', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518']"
Bernard Maton,"['0,0', '48.70997,2.1531', '48.851906,2.340105']"
Marc Honegger,"['0,0', '48.57872,7.76465']"
Regis Boyer,"['0,0', '48.851304,2.340246']"
Jean Tousset,"['0,0', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518']"
Christian Verlaque,"['0,0', '43.63279,3.86924']"
Michel Fayol,"['0,0', '47.31274,5.06637', '47.31274,5.06637']"
Olivier Guillot,"['48.6962,6.17634', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Simone Clapier-Valladon,"['0,0', '43.71693,7.26664']"
Jean Victor Ruch,"['0,0', '48.57872,7.76465']"
Pierre Morere,"['0,0', '45.19159,5.76726', '45.19159,5.76726']"
Robert Favreau,"['0,0', '46.58596,0.34601']"
Andre de Reparaz,"['0,0', '43.2935,5.35781']"
Jean-Pierre Pinot,"['0,0', '47.2097,-1.55587']"
Louis Rigaud,"['0,0', '45.77056,3.08791']"
Emmanuel Le Roy Ladurie,"['0,0', '48.8468,2.34488', '48.851906,2.340105']"
Gerard Siegwalt,"['0,0', '48.57872,7.76465']"
Freddy Raphael,"['0,0', '48.57872,7.76465']"
Jean Vincens,"['0,0', '43.60656,1.43712', '43.60656,1.43712']"
Jacques Aubry,"['48.57872,7.76465', '47.2097,-1.55587', '47.2097,-1.55587']"
Roland Sublon,"['0,0', '48.57872,7.76465']"
Jean-Paul Penot,"['0,0', '43.31372,-0.36509']"
Suzanne Brun,"['0,0', '43.61583,3.87203', '43.61583,3.87203']"
Henri Morel,"['43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781']"
Jean-Pierre Gerhard,"['0,0', '48.57872,7.76465']"
Bernard Renaud,"['0,0', '45.77962,4.86518']"
Michel Piecuch,"['0,0', '48.6962,6.17634', '48.6962,6.17634']"
Marc Jimenez,"['0,0', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Alain-Jean Cozzone,"['0,0', '45.77962,4.86518']"
Daniel Gerdeaux,"['0,0', '45.77962,4.86518']"
Jean-Louis Brazier,"['0,0', '45.77962,4.86518']"
Jean Tarrade,"['0,0', '46.58596,0.34601', '46.58596,0.34601', '46.58596,0.34601']"
Paul Garelli,"['0,0', '48.8468,2.34488', '48.8468,2.34488']"
Maurice Levy,"['0,0', '43.57954,1.40235', '43.57954,1.40235', '48.851304,2.340246']"
Bernard Lassudrie-Duchene,"['0,0', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Marc Daudon,"['0,0', '45.77962,4.86518']"
Anne-Monique Gounot,"['0,0', '45.77962,4.86518', '45.77962,4.86518']"
Claude Ponsard,"['0,0', '47.31274,5.06637', '47.31274,5.06637']"
Georges Roux,"['0,0', '45.7492,4.83714']"
Gabriel Desert,"['0,0', '49.18884,-0.36382']"
Robert Fossier,"['0,0', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Jacques Trahand,"['0,0', '45.19159,5.76726', '45.19159,5.76726']"
Paul-Gabriel Bouce,"['0,0', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313']"
Philippe Soubrie,"['0,0', '48.851304,2.340246']"
Philippe Robert,"['48.851906,2.340105', '48.70997,2.1531', '43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664', '48.0148,0.159251', '48.70997,2.1531', '43.71693,7.26664', '43.71693,7.26664', '48.79959,2.14159', '48.851304,2.340246']"
Josette Dupuy,"['0,0', '45.77962,4.86518']"
Pierre Salmon,"['0,0', '47.31274,5.06637', '47.31274,5.06637', '47.31274,5.06637']"
Jacques Thimonier,"['0,0', '43.61583,3.87203']"
Rene Jullian,"['0,0', '48.8468,2.34488']"
Jacques Lemaire,"['48.851304,2.340246', '45.77056,3.08791', '45.77056,3.08791', '43.71693,7.26664', '45.77056,3.08791', '45.77056,3.08791', '45.77056,3.08791']"
Jean Schmidt,"['48.57872,7.76465', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Guy Delande,"['0,0', '43.61583,3.87203', '43.61583,3.87203']"
Guy Berger,"['0,0', '48.946,2.36213', '48.946,2.36213']"
Philip Riley,"['48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634']"
Jacqueline Buser-Lahaye,"['0,0', '48.39803,-4.5077']"
Raymond Enay,"['0,0', '45.77962,4.86518']"
Jean Pouilloux,"['0,0', '45.7492,4.83714']"
Pierre Michel,"['49.4583,1.06895', '45.77962,4.86518', '48.57872,7.76465', '45.77962,4.86518', '48.57872,7.76465', '48.57872,7.76465', '48.57872,7.76465', '48.57872,7.76465', '45.783,4.87798', '48.57872,7.76465', '48.57872,7.76465', '45.783,4.87798', '45.783,4.87798']"
Paul Clechet,"['0,0', '45.77962,4.86518']"
Andre Stahl,"['48.70997,2.1531', '43.2935,5.35781', '48.57872,7.76465', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781']"
Rene Treuil,"['0,0', '48.8468,2.34488']"
Pierre Tap,"['0,0', '43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235']"
Bertrand Schwartz,"['0,0', '48.95793,2.34071']"
Jean-Marie Auby,"['0,0', '44.809966,-0.596578', '44.809966,-0.596578', '44.809966,-0.596578']"
Jean-Francois Guilhaudis,"['0,0', '45.19159,5.76726']"
Guy Pedroncini,"['0,0', '48.8468,2.34488', '48.8468,2.34488']"
Jean Gallais,"['0,0', '49.4583,1.06895', '49.4583,1.06895', '49.4583,1.06895']"
Michel Petit,"['48.851304,2.340246', '47.31274,5.06637', '47.31274,5.06637', '49.4583,1.06895', '48.851304,2.340246', '43.61583,3.87203', '44.809966,-0.596578', '-20.9019,55.4843', '44.809966,-0.596578']"
Pierre Lassegue,"['43.56287,1.46597', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Jean-Pierre Gayda,"['0,0', '43.2935,5.35781']"
Jean Perrot,"['0,0', '48.8489,2.34313']"
Maurice Carraz,"['0,0', '45.77962,4.86518']"
Bernard Jecko,"['0,0', '45.8263,1.25917', '45.8263,1.25917', '45.8263,1.25917', '45.8263,1.25917']"
Denise Lamoure,"['0,0', '45.77962,4.86518']"
Michel Gauthier,"['48.851304,2.340246', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
Francois Ottmann,"['0,0', '47.2097,-1.55587', '47.2097,-1.55587']"
Robert Pages,"['0,0', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
Paul Lagarde,"['0,0', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Claude Fourgeaud,"['0,0', '48.8468,2.34488']"
Georges Maurand,"['0,0', '43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235']"
Jean-Luc Domenach,"['0,0', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.85412,2.32842', '48.85412,2.32842', '48.85412,2.32842']"
Guy Tiberghien,"['0,0', '45.19159,5.76726', '45.77962,4.86518']"
Guy Lasserre,"['0,0', '44.8015,-0.615058', '44.8015,-0.615058', '44.8015,-0.615058']"
Marie-Claire Dumas,"['0,0', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
Dominique Domurado,"['0,0', '49.40024,2.800108']"
Daniel Vitry,"['0,0', '48.8468,2.34488']"
Serge Dormard,"['0,0', '50.6314,3.07497']"
Claude Bathias,"['0,0', '49.40024,2.800108']"
Raymond Portalier,"['0,0', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518']"
Jacques Chabot,"['0,0', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781']"
Francois Chevalier,"['0,0', '48.8468,2.34488', '48.8468,2.34488']"
Joelle Paris,"['0,0', '45.77962,4.86518']"
Jean-Jacques Serrano,"['0,0', '43.61583,3.87203']"
Jean-Pierre Revillard,"['0,0', '45.77962,4.86518']"
Dominique Noguez,"['0,0', '48.8468,2.34488']"
HENRY FARRENY,"['0,0', '43.56287,1.46597']"
Max Pages,"['0,0', '48.851906,2.340105']"
Michel Aglietta,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Xavier de Planhol,"['0,0', '48.851304,2.340246', '48.851304,2.340246']"
Louis Guespin,"['0,0', '49.4583,1.06895']"
Michel Boiron,"['48.8468,2.34488', '48.851906,2.340105']"
Andre Joly,"['0,0', '50.6314,3.07497', '48.851304,2.340246']"
Bernard Amblard,"['0,0', '43.2935,5.35781']"
Bernard Levy,"['43.56287,1.46597', '48.70997,2.1531', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
Dominique Lepingle,"['0,0', '47.85065,1.93397']"
Michel Verret,"['0,0', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587']"
Georges Eugene Bernard,"['0,0', '47.2097,-1.55587']"
Marc Chenetier,"['0,0', '47.85065,1.93397']"
Jean-Louis Chandon,"['0,0', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781']"
Andre Veinstein,"['0,0', '48.946,2.36213']"
Bernard Teyssedre,"['0,0', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
JEAN-CLAUD SALLE,"['0,0', '47.31274,5.06637']"
Jean Irigoin,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Maurice Gaudaire,"['0,0', '48.78852,2.4437']"
Jean-Claude Eicher,"['0,0', '47.31274,5.06637']"
Jean-Pierre Briand,"['0,0', '48.851304,2.340246']"
Gerard Crouzat-Reynes,"['0,0', '47.38376,0.67367']"
Jean-Maurice Verdier,"['0,0', '48.90245,2.21238']"
Maurice Gross,"['0,0', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
Monica Charlot,"['0,0', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313']"
Andre Bouissy,"['0,0', '48.946,2.36213']"
Marc Le Bot,"['0,0']"
Jean-Paul Haton,"['0,0', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634']"
Maurice Molho,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Claude Riviere,"['48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
Gerard Mack,"['0,0', '47.31274,5.06637']"
S. Bratos,"['0,0', '48.851304,2.340246', '48.851304,2.340246']"
Dominique Desprez-Droz,"['43.61583,3.87203', '48.6962,6.17634']"
Jean-Paul Watteau,"['0,0', '48.70997,2.1531']"
Michel Peronnet,"['0,0', '43.63279,3.86924', '43.63279,3.86924']"
Claude Levi-Strauss,"['0,0', '48.851906,2.340105']"
Jean Simon,"['48.6962,6.17634', '43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235', '48.70997,2.1531', '47.38376,0.67367']"
Louis Fayard,"['0,0', '48.70997,2.1531']"
Claude Leclercq,"['50.6314,3.07497', '48.78852,2.4437', '48.78852,2.4437', '48.78852,2.4437', '48.78852,2.4437', '48.78852,2.4437']"
Jean-Francois Le Ny,"['0,0', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213']"
Roger Odin,"['0,0', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313']"
Henri Caussinus,"['0,0', '43.56287,1.46597', '43.56287,1.46597', '43.56287,1.46597']"
Claude Fohlen,"['0,0', '48.8468,2.34488']"
Michel Fromont,"['0,0', '47.31274,5.06637', '48.8468,2.34488']"
Bernard Guilhon,"['0,0', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781']"
Armand Himy,"['0,0', '48.90245,2.21238']"
Alain Storck,"['0,0', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634']"
Patrick Limbour,"['48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298']"
Jean Cazeneuve,"['0,0', '48.851906,2.340105', '48.851906,2.340105']"
Pierre Chaunu,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Daniel Menager,"['0,0', '48.90245,2.21238', '48.90245,2.21238']"
Charles Divies,"['0,0', '47.31274,5.06637', '47.31274,5.06637', '47.31274,5.06637', '47.31274,5.06637']"
Jean-Michel Croisille,"['0,0', '45.77056,3.08791']"
Didier Dacunha-Castelle,"['0,0', '48.70997,2.1531', '48.70997,2.1531']"
Gerard Manachere,"['0,0', '45.77962,4.86518']"
Daniele Pistone,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Rene Blanchet,"['0,0', '48.39803,-4.5077']"
Bernard Blavoux,"['0,0', '43.95005,4.81789', '43.95005,4.81789', '43.95005,4.81789']"
Jean-Marie Dentzer,"['0,0', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Bruno Foucart,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Jean Vignolle,"['0,0', '43.56287,1.46597']"
J. MICHEL SCHLICK,"['0,0', '48.57872,7.76465']"
Raphael Carrasco,"['43.63279,3.86924', '47.2408,6.02265', '48.57872,7.76465', '48.57872,7.76465', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924']"
Jean Deprun,"['0,0', '48.8468,2.34488', '48.8468,2.34488']"
Claude Tapia,"['0,0', '47.38376,0.67367']"
Jean-Michel Bertrand,"['47.31274,5.06637', '48.6962,6.17634', '48.6962,6.17634']"
Jean Parret,"['0,0', '45.77962,4.86518']"
Denis de Brucq,"['0,0', '49.4583,1.06895', '49.3852,1.06839']"
Gerard de Bernis,"['0,0', '45.19159,5.76726']"
Gilles Deleuze,"['0,0', '48.946,2.36213', '48.946,2.36213']"
Jean Fuzier,"['0,0', '43.63279,3.86924']"
Irene Melikoff,"['0,0', '48.57872,7.76465', '48.57872,7.76465', '48.57872,7.76465']"
