Académie1,Académie2,Nom,long1,lat1,long2,lat2
Créteil,Clermont-Ferrand,4,4,4,4,4
Créteil,Créteil,95,95,95,95,95
Créteil,Dijon,1,1,1,1,1
Créteil,Grenoble,4,4,4,4,4
Créteil,Lille,6,6,6,6,6
Créteil,Limoges,1,1,1,1,1
Créteil,Lyon,15,15,15,15,15
Créteil,Montpellier,10,10,10,10,10
Créteil,Nancy-Metz,7,7,7,7,7
Créteil,Nantes,7,7,7,7,7
Créteil,Nice,2,2,2,2,2
Créteil,Orléans-Tours,6,6,6,6,6
Créteil,Paris,57,57,57,57,57
Créteil,Poitiers,2,2,2,2,2
Créteil,Rennes,9,9,9,9,9
Créteil,Rouen,4,4,4,4,4
Créteil,Strasbourg,9,9,9,9,9
Créteil,Toulouse,10,10,10,10,10
Créteil,Versailles,39,39,39,39,39
Dijon,Aix-Marseille,3,3,3,3,3
Dijon,Amiens,1,1,1,1,1
Dijon,Besançon,5,5,5,5,5
Dijon,Bordeaux,3,3,3,3,3
Dijon,Caen,2,2,2,2,2
Dijon,Clermont-Ferrand,4,4,4,4,4
Dijon,Dijon,40,40,40,40,40
Dijon,Lille,3,3,3,3,3
Dijon,Lyon,8,8,8,8,8
Dijon,Montpellier,6,6,6,6,6
Dijon,Nancy-Metz,4,4,4,4,4
Dijon,Nantes,8,8,8,8,8
Dijon,Nice,1,1,1,1,1
Dijon,Orléans-Tours,6,6,6,6,6
Dijon,Paris,12,12,12,12,12
Dijon,Poitiers,3,3,3,3,3
Dijon,Rennes,2,2,2,2,2
Dijon,Rouen,1,1,1,1,1
Dijon,Strasbourg,11,11,11,11,11
Dijon,Toulouse,6,6,6,6,6
Dijon,Versailles,10,10,10,10,10
Grenoble,Aix-Marseille,6,6,6,6,6
Grenoble,Bordeaux,3,3,3,3,3
Grenoble,Caen,2,2,2,2,2
Grenoble,Clermont-Ferrand,4,4,4,4,4
Grenoble,Créteil,5,5,5,5,5
Grenoble,Dijon,2,2,2,2,2
Grenoble,Grenoble,31,31,31,31,31
Grenoble,Lille,6,6,6,6,6
Grenoble,Lyon,9,9,9,9,9
Grenoble,Montpellier,1,1,1,1,1
Grenoble,Nancy-Metz,3,3,3,3,3
Grenoble,Nantes,2,2,2,2,2
Grenoble,Nice,3,3,3,3,3
Grenoble,Orléans-Tours,2,2,2,2,2
Grenoble,Paris,6,6,6,6,6
Grenoble,Rennes,3,3,3,3,3
Grenoble,Rouen,3,3,3,3,3
Grenoble,Strasbourg,9,9,9,9,9
Grenoble,Toulouse,3,3,3,3,3
Grenoble,Versailles,5,5,5,5,5
Lille,Aix-Marseille,10,10,10,10,10
Lille,Amiens,7,7,7,7,7
Lille,Besançon,3,3,3,3,3
Lille,Bordeaux,13,13,13,13,13
Lille,Caen,5,5,5,5,5
Lille,Clermont-Ferrand,6,6,6,6,6
Lille,Créteil,7,7,7,7,7
Lille,Dijon,5,5,5,5,5
Lille,Grenoble,5,5,5,5,5
Lille,Lille,217,217,217,217,217
Lille,Lyon,12,12,12,12,12
Lille,Montpellier,13,13,13,13,13
Lille,Nancy-Metz,10,10,10,10,10
Lille,Nantes,11,11,11,11,11
Lille,Nice,3,3,3,3,3
Lille,Orléans-Tours,7,7,7,7,7
Lille,Paris,31,31,31,31,31
Lille,Poitiers,2,2,2,2,2
Lille,Rennes,4,4,4,4,4
Lille,Rouen,5,5,5,5,5
Lille,Strasbourg,9,9,9,9,9
Lille,Toulouse,12,12,12,12,12
Lille,Versailles,15,15,15,15,15
Limoges,Aix-Marseille,2,2,2,2,2
Limoges,Bordeaux,7,7,7,7,7
Limoges,Clermont-Ferrand,1,1,1,1,1
Limoges,Créteil,1,1,1,1,1
Limoges,Lille,2,2,2,2,2
Limoges,Limoges,33,33,33,33,33
Limoges,Lyon,1,1,1,1,1
Limoges,Montpellier,2,2,2,2,2
Limoges,Nancy-Metz,2,2,2,2,2
