"Universite2","Universite1","Nom","Annee1","Annee2","Lat1","Long1","Lat2","Long2"
"Aix-Marseille","Paris 1","Habib Gherari",1987,2012,48.8468,2.34488,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Marthe Fatin-Rouge Stefanini",1999,2015,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Fabienne Orsi",2001,2018,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Lille 2","Lionel Almeras",2003,2013,50.6314,3.07497,43.2935,5.35781
"Aix-Marseille","Paris 11","Vincent Garnier",1999,2012,48.70997,2.1531,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Agnes Bonnet",2005,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 11","Frederic Diaz",2011,2012,48.70997,2.1531,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Maryline Crivello",1993,2015,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 1","Anne Carol",1993,2014,48.8468,2.34488,43.2935,5.35781
"Aix-Marseille","Nice","Delphine Scotto di Vettimo",2001,2014,43.71693,7.26664,43.2935,5.35781
"Aix-Marseille","Paris 3","Crystel Pinconnat",1995,2018,48.8489,2.34313,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Ariel Mendez",1994,2013,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 6","Pierre Henry",1991,2018,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Sylvie Cimamonti",1990,2015,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Jean Philippe",1996,2013,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Avignon","Patrice Bellot",2000,2015,43.95005,4.81789,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Jean-Philippe Ranjeva",2006,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Rene Valero",2005,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Bruno Viard",1990,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Vincent Bertrand",2004,2017,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Michel Signoli",1998,2013,43.2935,5.35781,43.2935,5.35781
