,Académie1,Académie2,Nom,long1,lat1,long2,lat2
0,Aix-Marseille,Aix-Marseille,193,5.78670262752716,44.1013135062133,5.78670262752716,44.1013135062133
1,Aix-Marseille,Amiens,4,5.78670262752716,44.1013135062133,2.80988336305548,49.6427828856657
2,Aix-Marseille,Besançon,3,5.78670262752716,44.1013135062133,6.08505867651095,47.2052520408286
3,Aix-Marseille,Bordeaux,19,5.78670262752716,44.1013135062133,-0.237254828250716,44.3490665017138
4,Aix-Marseille,Caen,4,5.78670262752716,44.1013135062133,-1.16078801480811,49.0701835878103
5,Aix-Marseille,Clermont-Ferrand,6,5.78670262752716,44.1013135062133,3.17719123835589,45.6515024165177
6,Aix-Marseille,Créteil,3,5.78670262752716,44.1013135062133,2.89911093403961,48.6431535988442
7,Aix-Marseille,Dijon,6,5.78670262752716,44.1013135062133,4.1535164667448,47.2450441075065
8,Aix-Marseille,Grenoble,2,5.78670262752716,44.1013135062133,5.5867384436165,45.2179584653975
9,Aix-Marseille,Lille,6,5.78670262752716,44.1013135062133,2.71910196137459,50.4732285471601
10,Aix-Marseille,Limoges,1,5.78670262752716,44.1013135062133,1.71459834990143,45.7724788125689
11,Aix-Marseille,Lyon,25,5.78670262752716,44.1013135062133,4.77038191181417,45.9175837287451
12,Aix-Marseille,Montpellier,32,5.78670262752716,44.1013135062133,3.21486198068568,43.5889298889666
13,Aix-Marseille,Nancy-Metz,9,5.78670262752716,44.1013135062133,6.1447181746994,48.7604596498813
14,Aix-Marseille,Nantes,14,5.78670262752716,44.1013135062133,-0.825644414028282,47.4739605746502
15,Aix-Marseille,Nice,26,5.78670262752716,44.1013135062133,6.60517617833992,43.6486614032651
16,Aix-Marseille,Orléans-Tours,2,5.78670262752716,44.1013135062133,2.3428816623942,48.8566275248383
17,Aix-Marseille,Paris,50,5.78670262752716,44.1013135062133,-0.0836192910729779,46.1596359234449
18,Aix-Marseille,Poitiers,7,5.78670262752716,44.1013135062133,4.54445314105218,48.7305365806798
19,Aix-Marseille,Rennes,9,5.78670262752716,44.1013135062133,1.0110504072641,49.3904811022459
20,Aix-Marseille,Rouen,2,5.78670262752716,44.1013135062133,7.43272506395103,48.3264262603572
21,Aix-Marseille,Strasbourg,19,5.78670262752716,44.1013135062133,1.47912801963556,43.7662580305371
22,Aix-Marseille,Toulouse,20,5.78670262752716,44.1013135062133,2.05145311561618,48.780774599836
23,Aix-Marseille,Versailles,34,5.78670262752716,44.1013135062133,1.68534458610065,47.4804747645919
24,Amiens,Aix-Marseille,3,2.80988336305548,49.6427828856657,5.78670262752716,44.1013135062133
25,Amiens,Amiens,34,2.80988336305548,49.6427828856657,2.80988336305548,49.6427828856657
26,Amiens,Besançon,2,2.80988336305548,49.6427828856657,6.08505867651095,47.2052520408286
27,Amiens,Bordeaux,4,2.80988336305548,49.6427828856657,-0.237254828250716,44.3490665017138
28,Amiens,Caen,3,2.80988336305548,49.6427828856657,-1.16078801480811,49.0701835878103
29,Amiens,Créteil,4,2.80988336305548,49.6427828856657,2.89911093403961,48.6431535988442
30,Amiens,Dijon,2,2.80988336305548,49.6427828856657,4.1535164667448,47.2450441075065
31,Amiens,Lille,5,2.80988336305548,49.6427828856657,2.71910196137459,50.4732285471601
32,Amiens,Limoges,1,2.80988336305548,49.6427828856657,1.71459834990143,45.7724788125689
33,Amiens,Lyon,7,2.80988336305548,49.6427828856657,4.77038191181417,45.9175837287451
34,Amiens,Montpellier,2,2.80988336305548,49.6427828856657,3.21486198068568,43.5889298889666
35,Amiens,Nancy-Metz,5,2.80988336305548,49.6427828856657,6.1447181746994,48.7604596498813
36,Amiens,Nantes,5,2.80988336305548,49.6427828856657,-0.825644414028282,47.4739605746502
37,Amiens,Nice,3,2.80988336305548,49.6427828856657,6.60517617833992,43.6486614032651
38,Amiens,Orléans-Tours,1,2.80988336305548,49.6427828856657,2.3428816623942,48.8566275248383
39,Amiens,Paris,14,2.80988336305548,49.6427828856657,-0.0836192910729779,46.1596359234449
40,Amiens,Poitiers,2,2.80988336305548,49.6427828856657,4.54445314105218,48.7305365806798
41,Amiens,Reims,4,2.80988336305548,49.6427828856657,-2.84094202262397,48.1795679827606
42,Amiens,Rennes,3,2.80988336305548,49.6427828856657,1.0110504072641,49.3904811022459
43,Amiens,Rouen,1,2.80988336305548,49.6427828856657,7.43272506395103,48.3264262603572
44,Amiens,Strasbourg,3,2.80988336305548,49.6427828856657,1.47912801963556,43.7662580305371
45,Amiens,Toulouse,5,2.80988336305548,49.6427828856657,2.05145311561618,48.780774599836
46,Amiens,Versailles,11,2.80988336305548,49.6427828856657,1.68534458610065,47.4804747645919
47,Besançon,Aix-Marseille,3,6.08505867651095,47.2052520408286,5.78670262752716,44.1013135062133
48,Besançon,Besançon,25,6.08505867651095,47.2052520408286,6.08505867651095,47.2052520408286
49,Besançon,Bordeaux,5,6.08505867651095,47.2052520408286,-0.237254828250716,44.3490665017138
50,Besançon,Caen,1,6.08505867651095,47.2052520408286,-1.16078801480811,49.0701835878103
51,Besançon,Clermont-Ferrand,3,6.08505867651095,47.2052520408286,3.17719123835589,45.6515024165177
52,Besançon,Créteil,2,6.08505867651095,47.2052520408286,2.89911093403961,48.6431535988442
53,Besançon,Dijon,8,6.08505867651095,47.2052520408286,4.1535164667448,47.2450441075065
54,Besançon,Grenoble,3,6.08505867651095,47.2052520408286,5.5867384436165,45.2179584653975
55,Besançon,Lille,6,6.08505867651095,47.2052520408286,2.71910196137459,50.4732285471601
