"Nom","Universite1","Universite2","Annee1","Annee2"
"Claudine Raynaud","Montpellier 3","Tours",1987,2008
"Claudine Schmidt-Laine","Lyon 1","Ecully, Ecole centrale de Lyon",1985,1989
"Claudio Giganti","Paris 11","Paris 6",2010,2016
"Clement Jimenez","Clermont-Ferrand 1","Bordeaux",1989,2017
"Clement Paoli","Paris 10","Paris Est",2018,2009
"Clotilde Boulanger","Nancy 1","Metz",1987,2005
"Colette Becker","Paris 3","Paris 10",1987,2003
"Colette Cortes","Paris 8","Paris 7",1988,1995
"Colette Dehay","Lyon 1","Lyon, Ecole normale superieure",1987,2013
"Colette Faucher","Aix-Marseille 3","Aix-Marseille",1991,2018
"Colette Noyau","Paris 4","Paris 10",1986,1998
"Colette Rabate","Paris 3","Tours",1994,2010
"Colette Rigaud","Paris 13","Paris 5",1997,2004
"Colette Saujot","Rennes 1","Paris 2",1995,1990
"Constantina-Elena Badea","Paris 5","Paris 10",2005,2016
"Corine Cauvet","Paris 6","Aix-Marseille 3",1988,2007
"Corinne Alberti","Paris 11","Paris 7",2004,2012
"Corinne Aubert","Paris 11","Paris 6",1985,2008
"Corinne Baujard","Paris 9","Universite Paris-Saclay (ComUE)",2004,2018
"Corinne Berland","Universite de Marne-la-Vallee","Paris Est",2001,2011
"Corinne Blanquart","Lille 1","Paris Est",1998,2017
"Corinne Dorel","Lyon 1","Lyon, INSA",1986,2011
"Corinne Jouanno","Paris 4","Caen",1988,2016
"Corinne Leloup","Paris 7","Dijon",1995,2011
"Corinne Martin","Paris 5","Bordeaux 2",1994,1998
"Corynne Jaffeux","Orleans","Bordeaux 4",1990,2011
"Costel-Sorin Cojocaru","Universite Louis Pasteur (Strasbourg)","Palaiseau, Ecole polytechnique",2003,2015
"Cristel Chandre","Dijon","Aix-Marseille 2",1999,2008
"Cristina Bazgan","Paris 11","Paris 9",1998,2010
"Crystel Pinconnat","Paris 3","Aix-Marseille",1995,2018
"Cyril Aymonier","Bordeaux 1","Bordeaux",2000,2016
"Cyril Drag","Paris 11","Universite Paris-Saclay (ComUE)",2000,2016
"Cyril Goudet","Dijon","Montpellier",1999,2015
"Cyril Lafon","Lyon 1","Lyon",1999,2016
"Cyril Martin","Bordeaux 2","Lyon 1",2000,2012
"Cyril Petibois","Bordeaux 2","Bordeaux 1",2000,2010
"Cyrille Colin","Lyon 1","Lyon",1993,2017
"Cyrille Flamant","Paris 6","Universite Paris-Saclay (ComUE)",1996,2017
"Cyrille Michon","Paris 4","Nantes",1992,2011
"Dalila Morsly","Paris 5","Angers",1988,2013
"Dalila Nicet-Chenaf","Bordeaux 1","Bordeaux 4",1993,2013
"Damien Bazin","Bordeaux 1","Nice",2012,2012
"Damien Besancenot","Paris 2","Paris 13",1992,2014
"Damien Chablat","Nantes","Ecole centrale de Nantes",1998,2011
"Damien Dhont","Paris 6","Pau",1999,2008
"Damien Gaboriau","Toulouse 3","Lyon, Ecole normale superieure (sciences)",1993,2008
"Damien Pham Van Bang","Lyon, INSA","Paris Est",2004,2018
"Damien Prim","Metz","Versailles-St Quentin en Yvelines",1994,2008
"Damien Querlioz","Paris 11","Universite Paris-Saclay (ComUE)",2008,2017
"Damien Schoevaert-Brossault","Universite Paris-Est Creteil Val de Marne (UPEC)","Paris 7",1990,2001
"Dan Savatovsky","Paris 8","Paris 3",1997,2009
"Dan Xu","Paris 3","Paris, INALCO",1987,2012
"Daniel Arnould","Aix-Marseille","Nancy 2",2014,2000
"Daniel Azoulay","Toulouse 3","Paris 11",1988,2008
"Daniel Azuelos","Paris 3","Amiens",1994,2013
"Daniel Barbier","Lyon 1","Lyon, INSA",1985,1999
"Daniel Baty","Aix-Marseille 2","Paris 7",1987,2001
"Daniel Beaune","Paris 5","Lille 3",1992,2006
"Daniel Bertrand","Paris 4","Paris 6",1997,1998
"Daniel Bloch","Paris 6","Strasbourg",2006,2012
"Daniel Bloch","Paris 6","Paris 13",2006,2012
"Daniel Boscher","Paris 11","Toulouse, ISAE",1986,2010
"Daniel Bouchier","Paris 11","Universite Paris-Saclay (ComUE)",1985,2018
"Daniel Bourmaud","Bordeaux 1","Rennes 1",1985,1997
"Daniel Bourmaud","Bordeaux 1","Bordeaux 4",1985,1997
"Daniel Bouthier","Paris 5","Bordeaux",1988,2015
"Daniel Caro","Rennes 1","Caen",2002,2014
"Daniel Carre","Rennes 2","Paris 5",1999,1997
"Daniel Charles","La Rochelle","Nice",2003,1997
"Daniel Cohen","Paris 10","Palaiseau, Ecole polytechnique",1986,2003
"Daniel Comparat","Paris 11","Universite Paris-Saclay (ComUE)",1999,2016
"Daniel Coste","Paris 8","Paris 3",1987,2000
"Daniel Delattre","Paris 4","Strasbourg 1",1993,1990
"Daniel Derivois","Lyon 2","Bourgogne Franche-Comte",2003,2017
"Daniel Diatkine","Paris 1","Evry-Val d'Essonne",1986,2000
"Daniel Epron","Nancy 1","Besancon",1993,2006
"Daniel Ferrand","Paris 1","Aix-Marseille 3",1989,1997
"Daniel Fondaneche","Limoges","Paris 7",1989,1999
"Daniel Frey","Universite Marc Bloch (Strasbourg)","Strasbourg",2003,2016
"Daniel Gaonac'h","Dijon","Poitiers",1986,1994
"Daniel Gile","Paris 3","Lyon 2",1990,2002
"Daniel Gouadec","Paris 4","Rennes 2",1986,2006
"Daniel Grande","Bordeaux 1","Paris Est",1998,2012
"Daniel Hanau","Universite Louis Pasteur (Strasbourg)","Strasbourg",1987,2015
"Daniel Henrion","Nancy 1","Paris 7",1991,1998
"Daniel Henry","Lyon 1","Ecully, Ecole centrale de Lyon",1986,2000
"Daniel Labaronne","Tours","Bordeaux",1988,2016
"Daniel Lacroix","Paris 4","Toulouse 2",1994,2016
"Daniel Lafitte","Montpellier 1","Aix-Marseille 2",1996,2011
"Daniel Le Blevec","Paris 4","Montpellier 3",1994,2005
"Daniel Lefeuvre","Paris 1","Paris 8",1994,2013
"Daniel Leroy","Lille 1","Tours",1994,2015
"Daniel Levy","Paris 6","Paris Sciences et Lettres",1990,2018
"Daniel Llerena","Universite Louis Pasteur (Strasbourg)","Grenoble",1996,2010
"Daniel Luzzati","Paris 3","Le Mans",1989,2011
"Daniel Mathieu","Besancon","Lille 2",1990,1990
"Daniel Mellier","Paris 5","Rouen",1992,2000
"Daniel Meyer","Paris 12","Montpellier, Ecole nationale superieure de chimie",2003,2012
"Daniel Meyran","Montpellier 3","Perpignan",1988,1994
"Daniel Mirza","Paris 1","Tours",2001,2014
"Daniel Nelias","Lyon, INSA","Lyon",1989,2016
"Daniel Olive","Aix-Marseille 2","Aix-Marseille",1990,2015
"Daniel Parzy","Aix-Marseille 2","Aix-Marseille",2000,2013
"Daniel Pasquet","Paris 11","Cergy-Pontoise",1985,2003
"Daniel Pichot","Paris 1","Rennes 2",1992,2012
"Daniel Pierre-Loti-Viaud","Paris 11","Paris 6",1990,2004
"Daniel Poulain","Nantes","Lille 2",1985,1992
"Daniel Pouliquen","Rennes 1","Angers",1988,1993
"Daniel Pressnitzer","Paris 6","Paris 5",1998,2013
"Daniel Satge","Montpellier 2","Universite Louis Pasteur (Strasbourg)",2001,1986
"Daniel Szpiro","Paris 9","Lille 1",1994,2008
"Daniel Touchard","Caen","Rennes 1",1991,1998
"Daniel Voisin","Toulouse 3","Clermont-Ferrand 1",1992,2007
"Daniel Zimmermann","Rennes 1","Paris 8",1993,1987
"Daniele Bensoussan-Lejzerowicz","Nancy 1","Universite de Lorraine",2007,2017
"Daniele Berton-Charriere","Montpellier 3","Clermont Auvergne",2002,2019
"Daniele Bourcier","Paris 1","Paris 2",1988,2004
"Daniele Bussy Genevois","Bordeaux 3","Paris 8",1988,1997
"Daniele Hauser","Paris 6","Universite Paris-Saclay (ComUE)",1989,2015
"Daniele James-Raoul","Paris 4","Bordeaux 3",1992,2014
"Daniele Kahn-Paycha","Paris 4","Paris 10",1995,2015
"Daniele Luce","Paris 7","Paris 11",1985,2005
"Daniele Meaux","Aix-Marseille 1","Saint-Etienne",1992,2013
"Daniele Moore","Universite Stendhal (Grenoble)","Paris 3",1992,2008
"Daniele Roman","Paris 4","Montpellier 3",1988,2010
"Daniele Trauman","Paris 1","Evry-Val d'Essonne",1994,2007
"Danielle Hilhorst","Paris 11","Universite Paris-Saclay (ComUE)",1985,2018
"Danielle Mailles","Paris 6","Paris 9",1987,1999
"Danielle Regnier-Bohler","Paris 4","Bordeaux 3",1994,2002
"Dante Barrientos Tecun","Perpignan","Aix-Marseille 1",1994,2011
"Dany Sandron","Paris 4","Sorbonne universite",1993,2019
"Dario Battistella","Amiens","Bordeaux",1995,2015
"Dario Cordero-Erausquin","Universite de Marne-la-Vallee","Paris 6",2000,2013
"Dario de Franceschi","Paris 6","Paris, Museum national d'histoire naturelle",1992,2009
"David Alexandre Gross","Paris 6","Paris 5",2001,2013
"David Alis","Aix-Marseille 3","Rennes 1",1997,2009
"David Amans","Ecully, Ecole centrale de Lyon","Lyon",2002,2019
"David Andreu","Toulouse 3","Montpellier",1996,2015
"David Berardan","Paris 12","Universite Paris-Saclay (ComUE)",2004,2016
"David Bonnaffe","Paris 11","Universite Paris-Saclay (ComUE)",1992,2019
"David Bosco","Aix-Marseille 3","Aix-Marseille",2005,2017
"David Bounie","Paris, ENST","Paris, Telecom ParisTech",2002,2011
"David Cappellen","Paris 6","Paris 11",1998,2010
"David Carpentier","Paris 6","Lyon",1999,2018
"David Cohen","Universite Louis Pasteur (Strasbourg)","Paris 3",1986,1986
"David Dereudre","Palaiseau, Ecole polytechnique","Lille 1",2002,2017
"David Francois","Dijon","Lyon",2012,2018
"David Guery-Odelin","Paris 6","Toulouse 3",1998,2012
"David Harari","Paris 11","Universite Paris-Saclay (ComUE)",1993,2016
"David Hernandez","Paris 6","Paris 7",2004,2013
"David Lannes","Bordeaux 1","Paris 6",1999,2015
"David Le Breton","Paris 7","Universite Marc Bloch (Strasbourg)",1987,1998
"David Loffreda","Lyon 1","Lyon",1999,2016
"David Lubicz","Bordeaux 1","Rennes 1",1999,2017
"David Masson","Bordeaux 1","Dijon",2002,2014
"David Perrais","Paris 6","Bordeaux",1999,2015
"David Pontille","Toulouse 2","Paris Sciences et Lettres",2000,2018
"David Ros","Rennes, INSA","Paris 11",2000,2006
"David Sarrut","Lyon 2","Lyon",2000,2019
"David Simeone","Clermont-Ferrand 2","Chatenay-Malabry, Ecole centrale de Paris",1998,2013
"David Touboul","Evry-Val d'Essonne","Universite Paris-Saclay (ComUE)",2006,2017
"Davide Luglio","Paris 4","Sorbonne universite",2000,2018
"Delia Kesner","Paris 11","Paris 7",1993,2012
"Delphine Battistelli","Paris 4","Paris 10",2000,2017
"Delphine Brach-Thiel","Metz","Universite de Lorraine",2000,2016
"Delphine Denis","Bordeaux 2","Paris 4",1998,2009
"Delphine Lacaze","Aix-Marseille 3","Aix-Marseille",2001,2016
"Delphine Morel","Rennes 2","Bordeaux 2",2006,1999
"Delphine Scotto di Vettimo","Nice","Aix-Marseille",2001,2014
"Delphine Thevenot-Sergentet","Lyon 1","Clermont-Ferrand 2",2005,2016
"Denis Baranger","Paris 2","Orleans",1996,2006
"Denis Baron","Paris 11","Nantes",1985,1985
"Denis Bartolo","Paris 6","Paris 7",2003,2014
"Denis Bernard","Paris 11","Paris, Ecole normale superieure",1987,2014
"Denis Bernardeau Moreau","Paris 5","Paris Est",2003,2017
"Denis Bertin","Montpellier 2","Aix-Marseille 1",1997,2005
"Denis Bertrand","Montpellier 2","Paris 8",2005,2006
"Denis Boiron","Paris 6","Palaiseau, Institut d'optique theorique et appliquee",1998,2013
"Denis Bonnecase","Montpellier 3","Universite Stendhal (Grenoble)",1987,1995
"Denis Bourgeois","Lyon 3","Lyon 1",1987,1999
"Denis Burgarella","Nice","Aix-Marseille",1987,2016
"Denis Clodic","Paris, ENMP","ENSMP",1990,2003
"Denis Collin","Lille 3","Angers",1998,1990
"Denis Corpet","Paris 11","Toulouse 3",1988,2010
"Denis Ducreux","Paris 11","Universite Paris-Saclay (ComUE)",2005,2017
"Denis Duhamel","Ecole nationale des ponts et chaussees (France)","Paris Est",1993,2011
"Denis Dupre","Paris 9","Grenoble 2",1996,2006
"Denis Eckert","Paris 1","Toulouse 2",1992,2015
"Denis Grebenkov","Palaiseau, Ecole polytechnique","Universite Paris-Saclay (ComUE)",2004,2018
"Denis Guilloteau","Tours","Universite de Tours. UFR de medecine",1987,1996
"Denis Guiot","Paris 9","Paris Sciences et Lettres",1999,2016
"Denis Herve","Paris 7","Paris 6",1988,2006
"Denis Hue","Paris 4","Rennes 2",1985,2006
"Denis Labouret","Brest","Paris 4",1995,2017
"Denis Lacoste","Aix-Marseille 3","Bordeaux 2",1991,1997
"Denis Le Pesant","Paris 7","Paris 10",1987,2017
"Denis Leblanc","Lyon 1","Toulouse 3",1991,1987
"Denis Mariano-Goulart","Montpellier 1","Montpellier",1997,2019
"Denis Mellier","Paris 3","Poitiers",1994,2007
"Denis Meuret","Paris 9","Dijon",1985,2010
"Denis Moreau","Paris 4","Nantes",1996,2012
"Denis Morin","Besancon","Montpellier 1",1993,2007
"Denis Mottet","Aix-Marseille 2","Montpellier 1",1990,2005
"Denis Mouralis","Aix-Marseille 3","Aix-Marseille",2008,2018
"Denis Paillard","Angers","Paris 7",1992,1994
"Denis Requier-Desjardins","Paris 10","Versailles-St Quentin en Yvelines",1988,2002
"Denis Rolland","Paris 1","Strasbourg 3",1986,2006
"Denis Roux","Aix-Marseille 1","Bordeaux 2",2003,1997
"Denis Simon","Bordeaux 1","Caen",1998,2008
"Denis Vernant","Paris 3","Grenoble 2",1988,1999
"Denis Voinot","Grenoble 2","Lille 2",1993,2016
"Denys Pommeret","Toulouse 3","Aix-Marseille 2",1995,2011
"Diane Descamps","Paris 6","Paris 7",1999,2011
"Diane Roman","Paris 1","Paris 10",2000,2018
"Didier Alexandre","Paris 8","Toulouse 2",1996,2004
"Didier Aubert","Amiens","Besancon",1989,1992
"Didier Blanchet","Paris, Institut d'etudes politiques","Paris 10",1989,1997
"Didier Boisson","Paris 4","Angers",1998,2015
"Didier Boucher","Paris 11","Lille 1",2006,1996
"Didier Breton","Bordeaux 4","Strasbourg",2000,2018
"Didier Caucal","Paris 7","Paris Est",1985,2010
"Didier Chabanet","Lyon 2","Lyon",1997,2016
"Didier Colin","Versailles-St Quentin en Yvelines","Universite Louis Pasteur (Strasbourg)",2009,1993
"Didier Combes","Clermont-Ferrand 2","Toulouse, INSA",2002,2002
"Didier Francfort","Paris 1","Nancy 2",1986,2006
"Didier Franck","Poitiers","Paris 10",1986,2000
"Didier Le Gall","Rennes 2","Angers",1987,1993
"Didier Lecomte","Paris 13","Perpignan",2003,2006
"Didier Letourneur","Lyon 1","Paris 13",1997,1998
"Didier Marquis","Nancy 1","Clermont-Ferrand 2",1988,2003
"Didier Marteau","Paris 9","Paris 1",1990,2016
"DIDIER MARTIN","Besancon","Rennes 1",1991,1986
"Didier Menard","Paris 5","Montpellier",1997,2016
"Didier Milhaud","Nice","Montpellier 1",1991,1999
"Didier Mutter","Universite Louis Pasteur (Strasbourg)","Besancon",1996,1993
"Didier Mutter","Universite Louis Pasteur (Strasbourg)","Besancon",1990,1993
"Didier Nourrisson","Caen","Lyon 2",1986,2006
"Didier Paquelin","Avignon","Bordeaux 3",1999,2014
"Didier Poton de Xaintrailles","Montpellier 3","La Rochelle",1988,2009
"Didier Retour","Grenoble 2","Rennes 1",1992,1999
"Didier Revel","Montpellier 1","Lyon 1",1989,1993
"Dimitri Komatitsch","Institut de physique du globe (Paris)","Pau",1997,2008
"Divina Frau-Meigs","Paris 2","Orleans",1993,2005
"Djamel Abdelkader Zighed","Lyon 1","Lyon 2",1985,2005
"Djamel-Eddine Boumediene","Paris 6","Clermont Auvergne",2002,2017
"Djillali Annane","Paris 5","Paris 13",1995,2004
"Dolores Thion Soriano-Molla","Paris 4","Pau",1996,2015
"Dominique Astruc","Strasbourg 1","Toulouse, INPT",1990,2002
"Dominique Aubert","Paris 11","Strasbourg",2005,2016
"Dominique Ausserre","Paris 11","Paris 6",1985,1993
"Dominique Bagnard","Lyon 1","Strasbourg",1999,2013
"Dominique Barbier","Vandoeuvre-les-Nancy, INPL","Caen",1990,2003
"Dominique Bataille","Toulouse, INPT","Montpellier 2",1986,1998
"DOMINIQUE BATAILLE","Lille 2","Montpellier 1",1990,1999
"Dominique Begue","Toulouse 2","Paris 5",1986,1995
"Dominique Bereziat","Paris 11","Paris 6",1999,2007
"Dominique Berger","Lyon 2","Clermont-Ferrand 2",1999,2011
"Dominique Bertrand","Aix-Marseille 3","Toulouse, INSA",1988,1990
"Dominique Bertrand","Caen","Toulouse, INSA",1988,1990
"Dominique Bessire","Paris 1","Orleans",1993,2008
"Dominique Besson","Universite Pierre Mendes France (Grenoble)","Lille 1",1996,2012
"Dominique Beyer","Universite Marc Bloch (Strasbourg)","Strasbourg 2",1989,2008
"Dominique Beynier","Caen","Universite Paris-Saclay (ComUE)",1994,2017
"Dominique Bockelee-Morvan","Paris 7","Paris 6",1987,2003
"Dominique Bodin","Bordeaux 2","Rennes 2",1999,2010
"Dominique Boisson","Perpignan","Lyon 1",1991,2011
"DOMINIQUE BOISSON","Paris 6","Lyon 1",1987,1994
"Dominique Bolignano","Paris 6","Paris 9",1995,1998
"Dominique Bonneau","Montpellier 1","Poitiers",2001,2000
"Dominique Bonnet","Aix-Marseille","Strasbourg",2017,2018
"Dominique Brunel","Aix-Marseille 1","Paris 11",1990,2008
"Dominique Bureau","Paris 2","Caen",1992,2001
"Dominique Cahard","Rouen","Rouen, INSA",1994,2014
"Dominique Cardon","Paris Est","Lyon 2",2015,2014
"Dominique Caubet","Paris 7","Paris 3",1989,1992
"Dominique Charrier","Paris 9","Paris 11",1990,2012
"Dominique Chevalier","Angers","Lille 2",1992,2014
"Dominique Clevenot","Paris 1","Toulouse 2",1988,2006
"Dominique Combe","Paris 4","Paris 3",1987,2005
"Dominique Darbon","Bordeaux 1","Bordeaux 4",1991,2004
"Dominique Dardevet","Clermont-Ferrand 2","Clermont-Ferrand 1",1993,2011
"Dominique Delcourt","Aix-Marseille 1","Paris 11",2009,1998
"Dominique Desprez-Droz","Montpellier 1","Nancy 1",1992,1987
"Dominique Dinet","Paris 1","Universite Marc Bloch (Strasbourg)",1996,2005
"Dominique Ducard","Paris 7","Paris Est",1990,2012
"Dominique Dumortier","Chambery","Lyon",1995,2016
"Dominique Durand","Caen","Paris 5",1986,1988
"Dominique Dussol","Bordeaux 3","Pau",1994,2016
"Dominique Duval","Paris 11","Limoges",1986,1995
"Dominique Feillet","Chatenay-Malabry, Ecole centrale de Paris","Saint-Etienne, EMSE",2001,2012
"Dominique Fernandez Bonet","Aix-Marseille 2","Aix-Marseille",1999,2013
"Dominique Finon","Grenoble 2","Universite Pierre Mendes France (Grenoble)",1988,1996
"Dominique Fontvieille","Lyon 1","Universite Savoie Mont Blanc",1987,1997
"Dominique Francois","Nancy 1","Chatenay-Malabry, Ecole centrale de Paris",1995,1993
"Dominique Francois","Nancy 1","Chatenay-Malabry, Ecole centrale de Paris",1995,1997
"Dominique Gaiti","Paris 6","Evry, Institut national des telecommunications",1991,2004
"Dominique Gasquet","Nancy 1","Vandoeuvre-les-Nancy, INPL",1991,2000
"Dominique Glasman","Universite Pierre Mendes France (Grenoble)","Lyon 2",1989,2004
"Dominique Guillaume","Toulouse 1","Amiens",2009,2004
"Dominique Hammer","Universite Louis Pasteur (Strasbourg)","Strasbourg 1",1986,1988
"Dominique Harmand","Nancy 2","Universite de Lorraine",1989,2012
"Dominique Helley","Paris 7","Paris 5",1997,2013
"Dominique Higuet","Paris 7","Paris 6",1988,1999
"Dominique Jacques-Jouvenot","Paris 10","Besancon",1986,1999
"Dominique Jarrasse","Paris 4","Bordeaux 3",1987,2002
"Dominique Kalifa","Paris 7","Paris 1",1994,2005
"Dominique Labbe","Paris 5","Universite Pierre Mendes France (Grenoble)",1989,1996
"Dominique Laffly","Besancon","Pau",1995,2007
"Dominique Lafon","Clermont-Ferrand 2","Montpellier",1989,2018
"Dominique Laurent","Nantes","Tours",1993,2003
"Dominique Le Goff","Nantes","Caen",1993,2000
"Dominique Lecomte","Paris 6","Toulouse 3",1993,1990
"Dominique Lefebvre","Valenciennes","Grenoble 2",1989,1990
"Dominique Lefebvre","Lille 2","Grenoble 2",1989,1990
"Dominique Levesque","Paris 5","Paris 11",1989,1998
"Dominique Mallet","Aix-Marseille 2","Bordeaux 3",1994,2002
"Dominique Manchon","Paris 7","Clermont-Ferrand 2",1989,2011
"Dominique Martin","Montpellier 2","Rennes 2",2000,2002
"Dominique Mery","Paris 5","Vandoeuvre-les-Nancy, INPL",1990,1994
"Dominique Millet","Toulouse 2","Toulon",2001,2006
"Dominique Millet-Gerard","Paris 4","Sorbonne universite",1987,2018
"Dominique Montagne-Macaire","Paris 5","Paris 3",2001,2012
"Dominique Pasquier","Montpellier 1","Paris, ENST",1989,2013
"Dominique Pepin","Poitiers","Toulouse 3",2000,2002
"Dominique Perrin","Lyon 2","Universite de Marne-la-Vallee",2006,2006
"Dominique Petit","Paris 2","Palaiseau, Ecole polytechnique",2009,2011
"Dominique Picard","Paris 11","Paris 7",1987,1993
"Dominique Pieri","Aix-Marseille 1","Paris 1",1998,2018
"Dominique Pontier","Toulouse 3","Lyon 1",1996,1996
"Dominique Reynie","Paris, Institut d'etudes politiques","Nice",1994,2003
"Dominique Rigaux","Paris 4","Grenoble",1985,2010
"Dominique Ritleng","Strasbourg 3","Nancy 2",1998,2008
"Dominique Rousseau","Paris 8","Montpellier",2017,2016
"Dominique Roux","Clermont-Ferrand 1","Paris 9",1989,1987
"Dominique Sappey-Marinier","Lyon 1","Lyon",1987,2017
"Dominique Segretain","Paris 6","Paris 11",1986,2008
"Dominique Sellier","Paris 1","Nantes",2002,2010
"DOMINIQUE SIMON","Paris 11","Nancy 1",1990,1992
"Dominique Thevenin","Grenoble 2","Chatenay-Malabry, Ecole centrale de Paris",1998,2002
"Dominique Thomas","Paris, INALCO","Vandoeuvre-les-Nancy, INPL",2010,2009
"Dominique Tonneau","Paris, ENMP","Paris 7",1994,2001
"Dominique Vallet","Amiens","Lyon 1",1989,1994
"Dominique Varry","Paris 1","Lyon 2",1986,2007
"Dominique Vidal","Lyon 1","Nice",1989,1996
"Dominique Vinck","Paris, ENMP","Grenoble 2",1991,2006
"Donna Andreolle","Universite Stendhal (Grenoble)","Le Havre",1998,2013
"Dorothee Misse","Montpellier 2","Montpellier",1998,2017
"Doumit Daou","Paris 12","Paris Est",2004,2011
"Drina Candilis-Huisman","Paris 5","Paris 7",1991,2011
"E. Benefice","Montpellier 1","Paris 6",1991,2003
"Eberhard Demm","Paris 10","Lyon 3",1986,2001
"Eddahibi Saadia","Universite Paris-Est Creteil Val de Marne (UPEC)","Paris Est",1993,2008
"Eddie Soulier","Paris 6","Troyes",2003,2007
"Eddy Godelle","Amiens","Caen",2001,2015
"Edgard Weber","Paris 3","Toulouse 2",1989,2002
"Edith Galy","Toulouse 2","Aix-Marseille",2002,2017
"Edith Ginglinger","Paris 9","Universite Paris-Est Creteil Val de Marne (UPEC)",1988,1998
"Edmond Dziembowski","Paris 4","Bourgogne Franche-Comte",1993,2018
"Edmond Gravel","Paris 11","Universite Paris-Saclay (ComUE)",2008,2019
"Edmond Nogacki","Lille 3","Valenciennes",1987,1998
"Edouard Challe","Paris 10","Universite Paris-Saclay (ComUE)",2002,2017
"Edouard Husson","Paris 4","Amiens",1998,2016
"Edouard Mehl","Paris 4","Lille 3",1999,2017
"Edouard Treppoz","Paris 1","Lyon 3",2001,2009
"Eduardo de Cursi Souza","Montpellier 2","Nantes",1991,1994
"Eduardo Pimentel Cachapuz Rocha","Versailles-St Quentin en Yvelines","Paris 6",2000,2008
"Eduardo Ramos-Izquierdo","Paris 4","Sorbonne universite",1987,2018
"Edwige Rude-Antoine","Paris 1","Paris 8",1989,2012
"El Cherif Ibrahim","Paris 5","Aix-Marseille 2",2001,2011
"El Hassan Youssfi","Lyon 1","Aix-Marseille 1",1986,1998
"El Mouhoub Mouhoud","Paris 1","Paris 13",1991,2004
"El-Hadi Zahzah","Toulouse 3","La Rochelle",1992,2005
"Eleni Varika","Paris 7","Paris 8",1986,2012
"Eliane Martin-Haag","Paris 1","Toulouse 2",1992,2002
"Elisabet Dunach-Clinet","Paris 11","Nice",1985,1999
"Elisabeth Arlet-Suau","Montpellier 1","Toulouse 3",1993,1993
"Elisabeth Bouscaren","Paris 7","Paris 11",1985,2011
"Elisabeth Crouzet-Pavan","Paris 1","Paris 4",1989,2002
"Elisabeth Davioud-Charvet","Paris 11","Lille 2",1988,1999
"Elisabeth Dorier-Apprill","Paris 10","Aix-Marseille",1993,2012
"Elisabeth Gouvernal","Paris 9","Paris Est",1987,2012
"Elisabeth Krecke","Aix-Marseille 3","Aix-Marseille",1993,2013
"Elisabeth Lalou","Paris 4","Rouen",1986,2016
"Elisabeth Menu","Paris 6","Paris 11",1990,2004
"Elisabeth Parinet","Paris, Institut d'etudes politiques","Paris, Ecole nationale des chartes",1990,2015
"Elisabeth Soulier-Detis","Paris 3","Montpellier 3",1995,2000
"Elisabeth Traiffort","Paris 5","Universite Paris-Saclay (ComUE)",1992,2017
"Elise Balse","Strasbourg 1","Paris 6",2004,2016
"Elise Dumont","Paris 6","Lyon",2006,2019
"Elise Mignot","Paris 4","Sorbonne universite",2001,2019
"Elizabeth Deniaux","Paris 1","Paris 10",1987,2001
"Elizabeth Durot-Bouce","Lille 3","Le Havre",2000,2011
"Elodie Gavin-Millan","Aix-Marseille 3","Aix-Marseille",2000,2018
"Elodie Richalot","Toulouse, INPT","Paris Est",1998,2014
"Elvire Gouze-Decaris","Nancy 1","Toulouse 3",1999,2014
"Elyes Jouini","Paris 1","Paris 9",1989,2003
"Elyette Roux","Aix-Marseille 3","Paris 9",1991,2007
"Emilie Sbidian","Paris 11","Paris Est",2012,2019
"Emin Bayraktar","Paris, CNAM","Chatenay-Malabry, Ecole centrale de Paris",2001,2014
"Emira Mehinagic","Nantes","Angers",2004,2013
"Emmanuel Benichou","Ecully, Ecole centrale de Lyon","Lyon",2015,2016
"Emmanuel Bertounesque","Paris 7","Paris 5",1987,2006
"Emmanuel Broussolle","Lyon 1","Lyon 2",1985,2011
"Emmanuel Cartier","Paris 1","Lille 2",2004,2017
"Emmanuel Cattin","Paris 1","Clermont-Ferrand 2",1996,2013
"Emmanuel Coudeyre","Saint-Etienne","Clermont Auvergne",2007,2017
"Emmanuel de Saint Aubert","Montpellier 3","Paris Sciences et Lettres",2001,2017
"Emmanuel Deval","Poitiers","Nice",2001,2013
"Emmanuel Dockes","Lyon 3","Dijon",1992,2006
"Emmanuel Du Pontavice","Universite Paris-Saclay (ComUE)","Paris 2",2016,1989
"Emmanuel Dubois","Toulouse, INPT","Lille 1",2008,2006
"Emmanuel Duguet","Paris 1","Evry-Val d'Essonne",1996,2010
"Emmanuel Fort","Bordeaux 2","Paris 7",1992,2013
"Emmanuel Fort","Bordeaux 2","Paris 6",1992,2013
"Emmanuel Fritsch","Universite de Marne-la-Vallee","Nantes",1997,2006
"Emmanuel Garcion","Paris 6","Angers",1997,2011
"Emmanuel Germain","Perpignan","Caen",1999,2015
"Emmanuel Gheerbrant","Paris 6","Paris, Museum national d'histoire naturelle",1989,2006
"Emmanuel Gonzales","Paris 11","Universite Paris-Saclay (ComUE)",2010,2019
"Emmanuel Hirsch","Tours","Paris 11",1988,2009
"Emmanuel Jovelin","Lille 1","Evry-Val d'Essonne",1998,2014
"Emmanuel Lacote","Paris 6","Paris 11",1999,2014
"Emmanuel Le Clezio","Bordeaux 1","Montpellier",2001,2016
"Emmanuel Lemichez","Paris 6","Nice",1997,2005
