,Etablissement.de.soutenance,Géolocalisation,lat,long
10398,Aix-Marseille 1,"43.2935,5.35781",43.2935,5.35781
10644,Aix-Marseille 2,"43.2935,5.35781",43.2935,5.35781
10691,"Rennes, Ecole nationale superieure de chimie","48.11798,-1.6341",48.11798,-1.6341
10956,"Paris, Ecole normale superieure","48.85464,2.33785",48.85464,2.33785
11055,Ecole centrale de Lille,"50.60648,3.13757",50.60648,3.13757
11111,Universite Savoie Mont Blanc,"45.56676,5.9175",45.56676,5.9175
11112,Universite Louis Pasteur (Strasbourg),"48.57872,7.76465",48.57872,7.76465
11145,Universite Marc Bloch (Strasbourg),"48.57872,7.76465",48.57872,7.76465
11529,"Ecully, Ecole centrale de Lyon","45.78299,4.76927",45.78299,4.76927
11557,"Saint-Etienne, EMSE","48.7132,2.19972",48.7132,2.19972
11642,Paris 3,"48.8489,2.34313",48.8489,2.34313
11646,Clermont Auvergne,"45.77056,3.08791",45.77056,3.08791
11751,Bordeaux 1,"44.809966,-0.596578",44.809966,-0.596578
11808,"Evry, Institut national des telecommunications","48.7132,2.19972",48.7132,2.19972
11843,Clermont-Ferrand 2,"45.77056,3.08791",45.77056,3.08791
12001,"Chatenay-Malabry, Ecole centrale de Paris","48.70997,2.1531",48.70997,2.1531
12200,"Lyon, Ecole normale superieure","45.7337,4.83376",45.7337,4.83376
12273,"Montpellier, Ecole nationale superieure de chimie","43.63508,3.86542",43.63508,3.86542
12400,Belfort-Montbeliard,"47.5871,6.86586",47.5871,6.86586
13071,"Toulouse, INSA","43.56287,1.46597",43.56287,1.46597
13193,Bourgogne Franche-Comte,"47.31274,5.06637",47.31274,5.06637
14910,Supelec,"48.70997,2.1531",48.70997,2.1531
15050,Strasbourg 2,"48.57872,7.76465",48.57872,7.76465
21945,"Cergy-Pontoise, Ecole superieure des sciences economiques et commerciales","49.03397,2.078427",49.03397,2.078427
25114,Telecom Bretagne,"48.7132,2.19972",48.7132,2.19972
25242,Ecole nationale superieure Mines-Telecom Atlantique Bretagne Pays de la Loire,"48.7132,2.19972",48.7132,2.19972
25859,Strasbourg 1,"48.57872,7.76465",48.57872,7.76465
26403,Universite de Recherche Paris Sciences et Lettres - PSL Research University,"48.85464,2.33785",48.85464,2.33785
27997,"Toulouse, ISAE","43.56287,1.46597",43.56287,1.46597
28502,"Paris, Museum national d'histoire naturelle","48.84202,2.35616",48.84202,2.35616
28858,"Paris, Inalco","48.8274,2.37608",48.8274,2.37608
29073,Ecole centrale de Nantes,"47.2491,-1.54786",47.2491,-1.54786
29652,Ecole Centrale de Nantes,"47.2491,-1.54786",47.2491,-1.54786
30885,"Paris, ENST","48.7132,2.19972",48.7132,2.19972
31376,Institut de physique du globe (Paris),"49.3852,1.06839",49.3852,1.06839
31591,Troyes,"48.2697,4.0725",48.2697,4.0725
31703,"Nantes, Ecole des Mines","48.7132,2.19972",48.7132,2.19972
32486,Ecole centrale de Marseille,"43.34136,5.43829",43.34136,5.43829
32593,Nimes,"43.84274,4.35685",43.84274,4.35685
33136,"Bourges, INSA Centre Val de Loire","47.082183,2.416245",47.082183,2.416245
40160,Sorbonne universite,"48.851304,2.340246",48.851304,2.340246
41698,Guyane,"4.93174,-52.30102",4.93174,-52.30102
44846,"Paris, ENSAM","48.83357,2.35831",48.83357,2.35831
52629,Universite Robert Schuman (Strasbourg),"48.57872,7.76465",48.57872,7.76465
54843,Paris 12,"48.78852,2.4437",48.78852,2.4437
54945,Universite Pierre Mendes France (Grenoble),"45.19159,5.76726",45.19159,5.76726
54969,Universite Stendhal (Grenoble),"45.19159,5.76726",45.19159,5.76726
54993,Universite de Marne-la-Vallee,"48.6962,6.17634",48.6962,6.17634
56896,Universite Nancy 2,"48.6962,6.17634",48.6962,6.17634
56946,"Rennes, Ecole normale superieure","48.04516,-1.74581",48.04516,-1.74581
59900,ENSMP,"48.7132,2.19972",48.7132,2.19972
62005,Versailles-St Quentin-en-Yvelines,"48.79959,2.14159",48.79959,2.14159
69668,TOULOUSE 3,"43.56287,1.46597",43.56287,1.46597
70002,dijon,"47.31274,5.06637",47.31274,5.06637
72289,clermont ferrand 1,"45.77056,3.08791",45.77056,3.08791
74603,Paris,"48.851906,2.340105",48.851906,2.340105
76256,Ecole nationale superieure Mines-Telecom Lille Douai,"48.7132,2.19972",48.7132,2.19972
78560,IMT Mines Ales,"48.7132,2.19972",48.7132,2.19972
82872,"Marne-la-vallee, ENPC","48.8411,2.58822",48.8411,2.58822
86335,paris 8,"48.946,2.36213",48.946,2.36213
86588,SAINT ETIENNE,"45.42472,4.39264",45.42472,4.39264
87472,INSA de Rouen,"49.3852,1.06839",49.3852,1.06839
87862,bordeaux 1,"44.809966,-0.596578",44.809966,-0.596578
91623,INSA ROUEN,"49.3852,1.06839",49.3852,1.06839
93674,"Evry, Institut National des Telecommunications","48.7132,2.19972",48.7132,2.19972
93818,"Palaiseau, Institut d'optique theorique et appliquee","48.70997,2.1531",48.70997,2.1531
98357,Clermont 1,"45.77056,3.08791",45.77056,3.08791
98405,"Chasseneuil-du-Poitou, Ecole nationale superieure de mecanique et d'aeronautique","46.661,0.362013",46.661,0.362013
102345,Aix-marseille,"43.2935,5.35781",43.2935,5.35781
